Name,URL,HTTP Status,Accessible,Load Time (ms),Size (KB),Mobile Score,A11y Score,Perf Score,Issues
"Civic Insight Engine","https://new-ashtabula-initiative.vercel.app/civic-insight/",200,True,100,0.9,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Permit Whisperer","https://new-ashtabula-initiative.vercel.app/permits/",200,True,110,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Eligibility Screener","https://new-ashtabula-initiative.vercel.app/eligibility/",200,True,106,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Eligibility Lite","https://new-ashtabula-initiative.vercel.app/eligibility-lite/",200,True,96,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Eligibility Pro","https://new-ashtabula-initiative.vercel.app/eligibility-pro/",200,True,96,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"License Wizard","https://new-ashtabula-initiative.vercel.app/license/",200,True,87,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Event Permit Express","https://new-ashtabula-initiative.vercel.app/event-permit/",200,True,188,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Zoning Clerk","https://new-ashtabula-initiative.vercel.app/zoning/",200,True,190,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"GovTech Box","https://new-ashtabula-initiative.vercel.app/govtech/",200,True,159,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"GrantGenius","https://new-ashtabula-initiative.vercel.app/grantgenius/",200,True,219,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Invest Ashtabula","https://new-ashtabula-initiative.vercel.app/invest/",200,True,93,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Blueprint Analyzer","https://new-ashtabula-initiative.vercel.app/blueprint/",200,True,151,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Box Builder","https://new-ashtabula-initiative.vercel.app/box-builder/",200,True,172,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"BoxFlow Estimator","https://new-ashtabula-initiative.vercel.app/boxflow/",200,True,94,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"CashFlow Tracker","https://new-ashtabula-initiative.vercel.app/cashflow/",200,True,95,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Parts Finder","https://new-ashtabula-initiative.vercel.app/parts/",200,True,235,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Parts Request","https://new-ashtabula-initiative.vercel.app/parts-request/",200,True,181,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Plating Tracker","https://new-ashtabula-initiative.vercel.app/plating/",200,True,174,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Plating Tracker Pro","https://new-ashtabula-initiative.vercel.app/plating-pro/",200,True,91,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Contractor Match","https://new-ashtabula-initiative.vercel.app/contractors/",200,True,168,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Fence Quote","https://new-ashtabula-initiative.vercel.app/fence-quote/",200,True,170,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Landlord Repair Queue","https://new-ashtabula-initiative.vercel.app/landlord/",200,True,170,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Lawn Quote Tool","https://new-ashtabula-initiative.vercel.app/lawn/",200,True,134,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"HVAC Tuneup","https://new-ashtabula-initiative.vercel.app/hvac/",200,True,243,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Snow Plow Tracker","https://new-ashtabula-initiative.vercel.app/snow-plow/",200,True,105,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Instant Dirt Quote","https://new-ashtabula-initiative.vercel.app/dirt-quote/",200,True,184,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Rental Availability","https://new-ashtabula-initiative.vercel.app/rental/",200,True,95,0.9,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Adaptive Reuse Planner","https://new-ashtabula-initiative.vercel.app/adaptive-reuse/",200,True,94,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Engineer's Assistant","https://new-ashtabula-initiative.vercel.app/engineers/",200,True,203,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Local Grocer Go","https://new-ashtabula-initiative.vercel.app/grocer/",200,True,287,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Curbside Pickup Tracker","https://new-ashtabula-initiative.vercel.app/curbside/",200,True,162,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Farm Stand Finder","https://new-ashtabula-initiative.vercel.app/farm-stand/",200,True,315,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Mobile Notary","https://new-ashtabula-initiative.vercel.app/notary/",200,True,145,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Auto Detail Booking","https://new-ashtabula-initiative.vercel.app/auto-detail/",200,True,94,0.9,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Truck Wash Booking","https://new-ashtabula-initiative.vercel.app/truck-wash/",200,True,94,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Service Scheduler","https://new-ashtabula-initiative.vercel.app/scheduler/",200,True,103,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Service Scheduler SMS","https://new-ashtabula-initiative.vercel.app/scheduler-sms/",200,True,104,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Insta Book","https://new-ashtabula-initiative.vercel.app/insta-book/",200,True,96,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Insta Book Stripe","https://new-ashtabula-initiative.vercel.app/insta-book-stripe/",200,True,158,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Virtual Concierge","https://new-ashtabula-initiative.vercel.app/concierge/",200,True,154,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Visitor Parking Finder","https://new-ashtabula-initiative.vercel.app/parking/",200,True,97,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"MyTrip Planner","https://new-ashtabula-initiative.vercel.app/mytrip/",200,True,150,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"MyTrip Export","https://new-ashtabula-initiative.vercel.app/mytrip-export/",200,True,204,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Route Optimizer","https://new-ashtabula-initiative.vercel.app/routes/",200,True,185,0.9,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Ride Ready","https://new-ashtabula-initiative.vercel.app/ride-ready/",200,True,95,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Charter Booking","https://new-ashtabula-initiative.vercel.app/charter/",200,True,163,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Marina Slip Waitlist","https://new-ashtabula-initiative.vercel.app/marina/",200,True,189,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Compassionate Planner","https://new-ashtabula-initiative.vercel.app/compassionate/",200,True,186,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"AidFlow Navigator","https://new-ashtabula-initiative.vercel.app/aidflow/",200,True,226,1.0,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Resource Compass","https://new-ashtabula-initiative.vercel.app/resource/",200,True,180,1.2,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Resource Compass Pro","https://new-ashtabula-initiative.vercel.app/resource-pro/",200,True,197,1.1,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Policy Pal","https://new-ashtabula-initiative.vercel.app/policy-pal/",200,True,91,0.9,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Boat Storage Waitlist","https://new-ashtabula-initiative.vercel.app/boat-storage/",200,True,167,1.0,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Harvest Alert","https://new-ashtabula-initiative.vercel.app/harvest/",200,True,184,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"AI Docent","https://new-ashtabula-initiative.vercel.app/ai-docent/",200,True,165,0.9,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"AI Docent Pro","https://new-ashtabula-initiative.vercel.app/ai-docent-pro/",200,True,91,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Artist Commission Form","https://new-ashtabula-initiative.vercel.app/artist-commission/",200,True,195,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Pocket Historian","https://new-ashtabula-initiative.vercel.app/historian/",200,True,219,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Pocket Historian Pro","https://new-ashtabula-initiative.vercel.app/historian-pro/",200,True,153,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Pocket Sommelier","https://new-ashtabula-initiative.vercel.app/sommelier/",200,True,104,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Pocket Sommelier Pro","https://new-ashtabula-initiative.vercel.app/sommelier-pro/",200,True,98,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"GOTL Weekend Planner","https://new-ashtabula-initiative.vercel.app/gotl/",200,True,90,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Harbor Cam Dashboard","https://new-ashtabula-initiative.vercel.app/harbor/",200,True,259,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Pet Matchmaker","https://new-ashtabula-initiative.vercel.app/pet-match/",200,True,92,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Visual Portfolio","https://new-ashtabula-initiative.vercel.app/portfolio/",200,True,179,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Volunteer Scheduler","https://new-ashtabula-initiative.vercel.app/volunteer/",200,True,102,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Wedding Lead Form","https://new-ashtabula-initiative.vercel.app/wedding/",200,True,94,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Through the Grapevine","https://new-ashtabula-initiative.vercel.app/wine/",200,True,115,3.1,100,100,100,""